"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\courses\coursesService.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 16, 74
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\courses\lessons\lessonsService.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\curriculum\curriculumService.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\studyPlans\studyPlans.js", "JavaScript", 0, 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\api\services\vacancies\vacanciesService.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\ActivityCard\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 2, 34
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\ActivityModal\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 219, 0, 13, 32, 264
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\AreaCard\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\AreaModal\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 5, 14, 175
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\AreaTag\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\CardDashboardTeacher\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 1, 0, 9
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\ClassModal\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 174, 0, 0, 16, 190
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\CourseCardTeacher\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 56, 0, 0, 7, 63
"c:\Users\Usuario\Desktop\tcc-schengenrs\front-end_tcc_schengers\src\components\CourseCard\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 4, 28
